tag,date,hour_ending,load_mw
D,08/03/2026,8,17227.15
D,08/03/2026,9,17472.57
D,08/03/2026,10,17805.15
D,08/03/2026,11,17966.85
D,08/03/2026,12,18257.83
D,08/03/2026,13,17740.19
D,08/03/2026,14,17499.06
D,08/03/2026,15,17432.14
D,08/03/2026,16,17749.99
D,08/03/2026,17,18305.1
D,08/03/2026,18,18720.94
D,08/03/2026,19,18429.09
D,08/03/2026,20,18027.23
D,08/03/2026,21,17093.25
D,08/03/2026,22,15905.61
D,08/03/2026,23,14668.84
D,08/04/2026,0,13161.98
D,08/04/2026,1,12967.14
D,08/04/2026,2,12462.3
D,08/04/2026,3,12144.79
D,08/04/2026,4,12153.52
D,08/04/2026,5,12528.03
D,08/04/2026,6,12768.77
D,08/04/2026,7,13039.04
D,08/04/2026,8,12946.12
D,08/04/2026,9,12747.1
D,08/04/2026,10,12458.55
D,08/04/2026,11,12529.48
D,08/04/2026,12,12943.48
D,08/04/2026,13,13686.26
D,08/04/2026,14,14552.53
D,08/04/2026,15,15725.84
D,08/04/2026,16,17233.37
D,08/04/2026,17,18749.23
D,08/04/2026,18,19587.36
D,08/04/2026,19,19299.43
D,08/04/2026,20,18775.99
D,08/04/2026,21,17720.19
D,08/04/2026,22,16186.0
D,08/04/2026,23,14712.68
D,08/05/2026,0,13820.69
D,08/05/2026,1,13444.61
D,08/05/2026,2,13136.88
D,08/05/2026,3,12814.48
D,08/05/2026,4,12772.53
D,08/05/2026,5,12970.14
D,08/05/2026,6,13053.5
D,08/05/2026,7,13468.78
D,08/05/2026,8,13479.13
D,08/05/2026,9,13519.33
D,08/05/2026,10,13619.71
D,08/05/2026,11,13788.78
D,08/05/2026,12,14314.94
D,08/05/2026,13,15335.08
D,08/05/2026,14,15993.92
D,08/05/2026,15,17158.88
D,08/05/2026,16,18424.83
D,08/05/2026,17,19359.78
D,08/05/2026,18,19789.54
D,08/05/2026,19,19633.12
D,08/05/2026,20,19353.69
D,08/05/2026,21,18505.15
D,08/05/2026,22,17185.34
D,08/05/2026,23,15886.16
D,08/06/2026,0,15309.89
D,08/06/2026,1,15276.6
D,08/06/2026,2,15098.14
D,08/06/2026,3,14899.19
D,08/06/2026,4,15207.86
D,08/06/2026,5,15558.3
D,08/06/2026,6,16011.56
D,08/06/2026,7,16702.96
D,08/06/2026,8,17091.69
D,08/06/2026,9,17203.75
D,08/06/2026,10,17130.49
D,08/06/2026,11,17677.95
D,08/06/2026,12,18159.92
D,08/06/2026,13,18954.27
D,08/06/2026,14,19556.14
D,08/06/2026,15,20676.85
D,08/06/2026,16,21807.84
D,08/06/2026,17,22697.54
D,08/06/2026,18,23321.58
D,08/06/2026,19,23143.47
D,08/06/2026,20,22870.25
D,08/06/2026,21,21710.58
D,08/06/2026,22,20026.04
D,08/06/2026,23,18809.71
D,08/07/2026,0,17726.0
D,08/07/2026,1,17351.59
D,08/07/2026,2,16943.31
D,08/07/2026,3,16759.1
D,08/07/2026,4,16663.35
D,08/07/2026,5,16976.95
D,08/07/2026,6,17171.1
D,08/07/2026,7,17771.04
D,08/07/2026,8,18046.44
D,08/07/2026,9,18162.97
D,08/07/2026,10,18465.9
D,08/07/2026,11,18776.16
D,08/07/2026,12,19120.38
D,08/07/2026,13,19654.02
D,08/07/2026,14,20401.49
D,08/07/2026,15,21376.27
D,08/07/2026,16,22504.82
D,08/07/2026,17,23357.75
D,08/07/2026,18,23677.24
D,08/07/2026,19,23186.49
D,08/07/2026,20,22391.94
D,08/07/2026,21,21057.85
D,08/07/2026,22,19561.94
D,08/07/2026,23,18278.48
D,08/08/2026,0,17101.01
D,08/08/2026,1,16427.1
D,08/08/2026,2,15879.46
D,08/08/2026,3,15796.06
D,08/08/2026,4,15552.19
D,08/08/2026,5,15504.21
D,08/08/2026,6,15569.18
D,08/08/2026,7,15916.44
D,08/08/2026,8,16266.64
D,08/08/2026,9,16310.31
D,08/08/2026,10,16119.58
D,08/08/2026,11,16402.06
D,08/08/2026,12,17003.51
D,08/08/2026,13,17791.95
D,08/08/2026,14,18215.92
D,08/08/2026,15,19094.48
D,08/08/2026,16,20549.48
D,08/08/2026,17,21570.23
D,08/08/2026,18,21551.99
D,08/08/2026,19,20944.16
D,08/08/2026,20,20336.31
D,08/08/2026,21,19191.62
D,08/08/2026,22,17830.46
D,08/08/2026,23,16740.96
D,08/09/2026,0,15486.38
D,08/09/2026,1,14707.05
D,08/09/2026,2,14409.36
D,08/09/2026,3,14214.2
D,08/09/2026,4,13920.82
D,08/09/2026,5,13942.38
D,08/09/2026,6,14149.26
D,08/09/2026,7,14422.87
D,08/09/2026,8,14665.35
D,08/09/2026,9,14846.84
D,08/09/2026,10,14704.32
D,08/09/2026,11,15470.22
D,08/09/2026,12,16333.7
D,08/09/2026,13,16945.18
D,08/09/2026,14,17552.97
D,08/09/2026,15,18451.25
D,08/09/2026,16,19748.39
D,08/09/2026,17,20965.84
D,08/09/2026,18,21484.61
D,08/09/2026,19,21035.89
D,08/09/2026,20,20342.51
D,08/09/2026,21,19118.93
D,08/09/2026,22,17495.46
D,08/09/2026,23,15969.96
D,08/10/2026,0,15025.41
D,08/10/2026,1,14742.82
D,08/10/2026,2,14220.68
D,08/10/2026,3,13812.81
D,08/10/2026,4,13709.1
D,08/10/2026,5,14040.36
D,08/10/2026,6,14004.63
D,08/10/2026,7,14218.03
D,08/10/2026,8,14353.37
D,08/10/2026,9,14212.26
D,08/10/2026,10,14107.19
D,08/10/2026,11,14317.33
D,08/10/2026,12,15113.73
D,08/10/2026,13,15687.57
D,08/10/2026,14,16532.97
D,08/10/2026,15,17844.24
D,08/10/2026,16,19356.85
D,08/10/2026,17,20338.5
D,08/10/2026,18,20658.43
D,08/10/2026,19,20240.83
D,08/10/2026,20,19917.56
D,08/10/2026,21,18809.67
D,08/10/2026,22,17379.4
D,08/10/2026,23,16032.66
D,08/11/2026,0,15220.2
D,08/11/2026,1,14985.83
D,08/11/2026,2,14502.82
D,08/11/2026,3,14447.05
D,08/11/2026,4,14401.9
D,08/11/2026,5,14566.9
D,08/11/2026,6,14648.21
D,08/11/2026,7,15156.82
D,08/11/2026,8,14997.63
D,08/11/2026,9,15045.2
D,08/11/2026,10,14917.04
D,08/11/2026,11,15286.19
D,08/11/2026,12,15823.14
D,08/11/2026,13,16315.4
D,08/11/2026,14,17117.47
D,08/11/2026,15,18067.72
D,08/11/2026,16,18757.18
D,08/11/2026,17,19437.1
D,08/11/2026,18,19970.47
D,08/11/2026,19,19760.18
D,08/11/2026,20,19403.76
D,08/11/2026,21,18220.84
D,08/11/2026,22,16725.7
D,08/11/2026,23,15284.05
D,08/12/2026,0,14211.8
D,08/12/2026,1,14044.51
D,08/12/2026,2,13570.58
D,08/12/2026,3,13468.82
D,08/12/2026,4,13502.3
D,08/12/2026,5,13717.24
D,08/12/2026,6,13927.08
D,08/12/2026,7,14048.88
D,08/12/2026,8,13754.27
D,08/12/2026,9,13800.41
D,08/12/2026,10,13731.12
D,08/12/2026,11,14085.27
D,08/12/2026,12,14459.34
D,08/12/2026,13,15403.12
D,08/12/2026,14,16042.22
D,08/12/2026,15,16949.05
D,08/12/2026,16,18029.72
D,08/12/2026,17,19101.08
D,08/12/2026,18,19361.55
D,08/12/2026,19,19069.76
D,08/12/2026,20,18678.1
D,08/12/2026,21,17652.28
D,08/12/2026,22,16284.7
D,08/12/2026,23,14988.69
D,08/13/2026,0,14087.78
D,08/13/2026,1,14303.74
D,08/13/2026,2,14013.52
D,08/13/2026,3,13742.68
D,08/13/2026,4,13791.21
D,08/13/2026,5,14227.99
D,08/13/2026,6,14397.55
D,08/13/2026,7,14710.68
D,08/13/2026,8,14494.15
D,08/13/2026,9,14108.49
D,08/13/2026,10,13844.05
D,08/13/2026,11,14090.6
D,08/13/2026,12,14801.45
D,08/13/2026,13,15336.14
D,08/13/2026,14,15916.56
D,08/13/2026,15,16702.42
D,08/13/2026,16,17795.64
D,08/13/2026,17,18921.9
D,08/13/2026,18,19270.66
D,08/13/2026,19,19016.84
D,08/13/2026,20,18545.18
D,08/13/2026,21,17492.42
D,08/13/2026,22,16120.3
D,08/13/2026,23,14752.66
D,08/14/2026,0,13850.24
D,08/14/2026,1,13655.74
D,08/14/2026,2,13299.27
D,08/14/2026,3,13222.05
D,08/14/2026,4,13196.62
D,08/14/2026,5,13352.66
D,08/14/2026,6,13172.88
D,08/14/2026,7,13280.02
D,08/14/2026,8,13151.36
D,08/14/2026,9,12611.42
D,08/14/2026,10,12427.8
D,08/14/2026,11,12660.96
D,08/14/2026,12,13176.54
D,08/14/2026,13,14010.06
D,08/14/2026,14,14736.2
D,08/14/2026,15,15721.19
D,08/14/2026,16,16948.95
D,08/14/2026,17,17680.37
D,08/14/2026,18,17636.55
D,08/14/2026,19,17317.04
D,08/14/2026,20,17062.77
D,08/14/2026,21,16227.41
D,08/14/2026,22,15076.82
D,08/14/2026,23,13845.91
D,08/15/2026,0,12828.81
D,08/15/2026,1,12056.92
D,08/15/2026,2,11792.09
D,08/15/2026,3,11625.82
D,08/15/2026,4,11534.99
D,08/15/2026,5,11656.51
D,08/15/2026,6,12175.43
D,08/15/2026,7,11777.78
D,08/15/2026,8,11210.19
D,08/15/2026,9,10850.78
D,08/15/2026,10,10822.13
D,08/15/2026,11,11026.58
D,08/15/2026,12,11376.0
D,08/15/2026,13,11778.09
D,08/15/2026,14,12234.09
D,08/15/2026,15,13061.72
D,08/15/2026,16,13767.94
D,08/15/2026,17,15016.91
D,08/15/2026,18,15933.93
D,08/15/2026,19,15870.01
D,08/15/2026,20,15499.77
D,08/15/2026,21,14705.81
D,08/15/2026,22,13730.15
D,08/15/2026,23,12681.38
D,08/16/2026,0,11948.89
D,08/16/2026,1,11678.74
D,08/16/2026,2,11327.57
D,08/16/2026,3,11051.69
D,08/16/2026,4,11144.44
D,08/16/2026,5,11465.96
D,08/16/2026,6,11457.16
D,08/16/2026,7,11155.67
D,08/16/2026,8,10807.62
D,08/16/2026,9,10245.39
D,08/16/2026,10,10183.57
D,08/16/2026,11,10359.32
D,08/16/2026,12,10562.08
D,08/16/2026,13,11072.0
D,08/16/2026,14,12189.75
D,08/16/2026,15,13522.6
D,08/16/2026,16,14751.05
D,08/16/2026,17,15814.64
D,08/16/2026,18,16454.4
D,08/16/2026,19,16499.68
D,08/16/2026,20,16337.17
D,08/16/2026,21,15598.37
D,08/16/2026,22,14613.84
D,08/16/2026,23,13644.62
D,08/17/2026,0,13143.62
D,08/17/2026,1,13327.42
D,08/17/2026,2,13285.62
D,08/17/2026,3,13145.92
D,08/17/2026,4,13215.35
D,08/17/2026,5,13464.09
D,08/17/2026,6,13595.96
D,08/17/2026,7,14301.48
D,08/17/2026,8,14783.57
D,08/17/2026,9,14925.74
D,08/17/2026,10,14935.49
D,08/17/2026,11,15215.86
D,08/17/2026,12,15254.11
D,08/17/2026,13,15272.06
D,08/17/2026,14,15373.46
D,08/17/2026,15,15575.88
D,08/17/2026,16,16057.97
D,08/17/2026,17,16708.39
D,08/17/2026,18,16926.22
D,08/17/2026,19,16967.6
D,08/17/2026,20,16891.24
D,08/17/2026,21,16123.07
D,08/17/2026,22,15031.86
D,08/17/2026,23,13906.88
D,08/18/2026,0,13151.51
D,08/18/2026,1,13302.02
D,08/18/2026,2,13375.55
D,08/18/2026,3,13215.06
D,08/18/2026,4,13321.17
D,08/18/2026,5,13586.71
D,08/18/2026,6,13765.9
D,08/18/2026,7,14326.08
D,08/18/2026,8,14614.32
D,08/18/2026,9,14566.58
D,08/18/2026,10,14663.38
D,08/18/2026,11,14523.12
D,08/18/2026,12,14555.74
D,08/18/2026,13,14844.11
D,08/18/2026,14,15363.59
D,08/18/2026,15,16307.77
D,08/18/2026,16,17490.98
D,08/18/2026,17,18585.05
D,08/18/2026,18,19137.86
D,08/18/2026,19,18835.61
D,08/18/2026,20,18485.32
D,08/18/2026,21,17444.71
D,08/18/2026,22,16082.62
D,08/18/2026,23,14772.87
D,08/19/2026,0,13899.94
D,08/19/2026,1,13669.04
D,08/19/2026,2,13643.15
D,08/19/2026,3,13616.88
D,08/19/2026,4,13865.34
D,08/19/2026,5,13883.7
D,08/19/2026,6,14146.94
D,08/19/2026,7,14510.5
D,08/19/2026,8,14398.08
D,08/19/2026,9,14157.49
D,08/19/2026,10,14003.0
D,08/19/2026,11,14331.71
D,08/19/2026,12,14792.0
D,08/19/2026,13,15370.06
D,08/19/2026,14,16131.98
D,08/19/2026,15,17069.81
D,08/19/2026,16,18207.94
D,08/19/2026,17,19320.54
D,08/19/2026,18,19642.61
D,08/19/2026,19,19346.71
D,08/19/2026,20,18919.32
D,08/19/2026,21,17789.8
D,08/19/2026,22,16379.6
D,08/19/2026,23,15007.66
